"V1"	"V2"
"X150615_D00390_0229_BC6JT1ANXX_SQ2523"	-45.7200588290479	-19.9935641015339
"X150615_D00390_0229_BC6JT1ANXX_SQ2524"	-41.8589872731867	-20.2283329913278
"X150615_D00390_0229_BC6JT1ANXX_SQ2525"	-61.821436822492	-17.5976272678708
"X150615_D00390_0229_BC6JT1ANXX_SQ2526"	-29.9034687585427	-20.0293951610497
"X150619_D00390_0230_AC6JPUANXX_SQ0094"	7.83375402867215	22.0217113773967
"X150619_D00390_0230_AC6JPUANXX_SQ0095"	-50.2977408715034	10.1124345413166
"X150619_D00390_0230_AC6JPUANXX_SQ2520"	-57.8133133718543	-17.3588096370366
"X150619_D00390_0230_AC6JPUANXX_SQ2521"	-39.6686245093486	-19.8706191281167
"X150619_D00390_0230_AC6JPUANXX_SQ2522"	-63.5156842918257	-18.2912138869764
"X150619_D00390_0230_AC6JPUANXX_SQ2523"	-65.6969637682964	-17.9560994501371
"X150619_D00390_0230_AC6JPUANXX_SQ2524"	-38.4202875415676	-20.4216202313222
"X150619_D00390_0230_AC6JPUANXX_SQ2527"	-46.7356989610477	-18.0727365330486
"X150626_D00390_0231_BC6JT3ANXX_SQ0032"	-55.6767378216113	-19.0672319455737
"X150626_D00390_0231_BC6JT3ANXX_SQ2525"	-61.1670650718266	-16.9998733313579
"X150626_D00390_0231_BC6JT3ANXX_SQ2526"	-33.1131014688938	-19.8816668368291
"X150626_D00390_0231_BC6JT3ANXX_SQ2527"	-31.599784308104	-19.6412121338269
"X150626_D00390_0231_BC6JT3ANXX_SQ2528"	-32.0343471172441	-21.6284712114641
"X150626_D00390_0231_BC6JT3ANXX_SQ2529"	-24.1461940646211	-21.9314137526966
"X150626_D00390_0231_BC6JT3ANXX_SQ2530"	20.8097761349149	-10.1028077987325
"X150626_D00390_0231_BC6JT3ANXX_SQ2531"	21.500512254222	-10.1863809898162
"X150630_D00390_0232_AC6K0WANXX_SQ0051"	-86.0970145696067	-15.1112480396029
"X150630_D00390_0232_AC6K0WANXX_SQ0052"	-59.2676446987483	-16.8824745430492
"X150630_D00390_0232_AC6K0WANXX_SQ2505"	-50.7722249047027	-18.8163229603172
"X150630_D00390_0232_AC6K0WANXX_SQ2528"	-22.4220069528676	-22.536257439957
"X150630_D00390_0232_AC6K0WANXX_SQ2529"	73.5379635448957	-32.5586329074439
"X150630_D00390_0232_AC6K0WANXX_SQ2530"	42.9187907691202	-11.1491350930716
"X150630_D00390_0233_BC6JRFANXX_SQ0096"	-68.9029556415697	-0.666007250965892
"X150630_D00390_0233_BC6JRFANXX_SQ2506"	-44.367045112719	-18.0989758719439
"X150630_D00390_0233_BC6JRFANXX_SQ2507"	-41.0566969223687	-19.0920124991013
"X150630_D00390_0233_BC6JRFANXX_SQ2508"	-42.0485741022789	-18.6520887146805
"X150630_D00390_0233_BC6JRFANXX_SQ2509"	-54.2597266529801	-17.4219376073115
"X150630_D00390_0233_BC6JRFANXX_SQ2510"	-47.1208785194088	-17.9657154350033
"X150630_D00390_0233_BC6JRFANXX_SQ2532"	-185.474598446676	1.05092773447391
"X150810_D00390_0234_AC6JTHANXX_SQ0097"	-4.76884486606296	-2.71071501992595
"X150810_D00390_0234_AC6JTHANXX_SQ0098"	-78.6936334417296	-0.661812130459893
"X150810_D00390_0234_AC6JTHANXX_SQ0099"	-72.0592334737146	-1.13005078798935
"X150810_D00390_0234_AC6JTHANXX_SQ0100"	-51.5607553593703	-1.64987261298551
"X150810_D00390_0234_AC6JTHANXX_SQ0119"	20.8950186072359	21.3065176052377
"X150810_D00390_0234_AC6JTHANXX_SQ0120"	15.5346382932324	21.2528614609762
"X150810_D00390_0234_AC6JTHANXX_SQ2533"	83.8724239599334	-14.3899125186015
"X150925_D00390_0235_BC6K0YANXX_SQ0105"	-27.0473137645158	10.7780614238023
